Unnamed: 0,text,labels,target,action
0,"MIAMI BEACH, FL — An alleged plan to burn down a large condominium building along the waterfront in Miami Beach was thwarted in what police are describing as a possible hate crime directed toward Jewish residents. A 72-year-old man was taken into custody and police later recovered dozens of filled gasoline containers in the building, according to Ernesto Rodriguez of the Miami Beach Police Department. No one was injured.  Our investigators eventually identified and then actually intercepted the suspect in the parking garage of the building, Rodriguez said Friday. At that moment, he was in possession of two gasoline containers. He had already dumped other containers with gasoline down a trash chute and residents could smell the fumes of gasoline throughout the building.  Subscribe to Miami Beach Patchs free email news alerts and newsletters    Walter Stolper was charged with attempted first degree arson, but may face additional federal offenses. He lives in a 15th floor apartment of the same building he allegedly tried to burn down, the Pavilion condominiums at 5601 Collins Avenue.  But late Friday afternoon, Miami Beach police said that they found an 28 additional containers of gasoline, sulfur powder and potassium nitrate in Stolpers storage room inside the residential high-rise.  Detectives have now charged the defendant with attempted murder, according to Rodriguez. We continue to work with the FBI and State Attorneys Office on this investigation.We remain confident the work of our detectives averted a tragedy.  Rodriguez said that the Miami Beach Fire Department conducted a thorough inspection, mitigated any threat and rendered the building safe. The building did not have to be evacuated.  Court documents said Stolper was pushing a shopping cart with gasoline when he was taken into custody.  As we approached the defendant, we smelled a strong odor of gasoline emitting from the shopping car and the defendants vehicle, court documents said. A total of eight plastic containers filled with gasoline were found in the garbage chute dumpster. Further investigation revealed that these containers had been tossed down the garbage chute.  Miami Beach police said Stolper gave police permission to search his apartment, where they found Nazi books and other items with swastikas on them.  The suspects motivation appears to have been a combination of anger at an upcoming eviction and anger toward fellow residents who are Jewish, Rodriguez said.  He added that the arson charge may be elevated to a hate crime.  We are working closely with the Miami Dade State Attorneys Office who will evaluate this matter for a possible hate crime enhancement, according to Rodriguez.  Police seized a firearm along with two black electrical fans. One witness told police Stolper had shown anger and aggression to fellow residents and the board of directors on multiple occasions.  Stolper allegedly told another resident that he planned to fill plastic containers with gasoline, pour the gasoline down the buildings main drain and then ignite it.  He allegedly planned to use the electrical fans to help spread the flames.  The defendant was interviewed inside his apartment, court documents added. The defendant said I bought the gas to make a small BBQ.  Watch as police recover dozens of gasoline containers from a Miami Beach condo:  Photo courtesy Miami Beach Police Department  ",1,3,1
1,"CHICAGO, IL — A man shown in a viral video harassing a woman for wearing a shirt with the Puerto Rican flag was charged Thursday with a felony hate crime. Timothy G. Trybus, 62, was originally charged with misdemeanor assault and disorderly conduct, but after the Cook County States Attorneys Office reviewed the case, the charges were upgraded to two counts of felony hate crime.  A District of Cook County Forest Preserve Police Officer is seen standing in the background of the video and not intervening. That officer has resigned, officials said.  Mia Irizarry posted the 36-minute video to her Facebook page on June 14, and various versions of it began circulating, stirring outrage worldwide and racking up millions of views. Ricardo Rossello, the governor of Puerto Rico, tweeted that he was appalled, shocked & disturbed by the incident.  The video shows Trybus trying to intimidate Irizarry, and demanding to know why shes wearing a shirt that features the Puerto Rican flag.  You should not be wearing that in the United States of America, Trybus tells her, despite the fact that Puerto Rico is part of the United States — its been a territory of the U.S. since 1898 and a U.S. commonwealth since 1952. Puerto Rican citizens were granted U.S. citizenship in 1917.  The officer can be seen standing in the background of the video, watching the confrontation from several yards away, while Irizarry asks him for help. The officer doesnt appear to respond, and Trybus continues to come closer to the woman and harass her, demanding her citizenship status.  Youre not going to change us, you know that? Trybus tells Irizarry. The world is not going to change the United States of America.  Cook County Commissioner Jesus Chuy Garcia released a statement that said the misdemeanor charges werent enough.  A charge for simple assault or disorderly conduct is not sufficient, this incident must be investigated and charged as a hate crime, Garcia said.  The Cook County Forest Preserves said that the officer who stood in the background of the video was assigned to desk duty while a probe is underway; however, on Wednesday officials said the officer had resigned.  Effective today, Officer Patrick Connor no longer serves in the police department of the Forest Preserves of Cook County, the forest preserve tweeted Wednesday. He resigned late today. But that isnt where our work ends.  In a police report obtained from the Forest Preserve District Police Department, the officer didnt include any mention of the woman asking him for help. In the longer version of the video, the officer told the woman that Trybus didnt pose any threat, and is just a big mouth.  Forest Preserves said Trybus was intoxicated when he was harassing Irizarry.    All people are welcome in the Forest Preserves of Cook County and no one should feel unsafe while visiting our preserves, the agency tweeted.  At a news conference Tuesday afternoon, Forest Preserves Chief of Police Kelvin Pope identified the officer as Patrick Connor. Pope said Connor should have stepped in, and he shouldve done something.  The video was taken in Caldwell Woods on Chicagos Far Northwest Side, according to the Chicago Tribune.  Top image/video via YouTube.",1,0,0
2,"FRAMINGHAM, MA — A Framingham teen is facing a hate crime charge after allegedly holding a gay man against his will in his Kendall Street apartment, withholding food and water from the man while beating him over four days. The MetroWest Daily News reported on the horrific accusations in which prosecutors said Jackson Sugrue, 19, used homosexual slurs while beating the man during one instance of violence.  Police found the bloodied victim, a 50-year-old Framingham man, on the ground on Kendall Street Saturday evening.  >>>Read the full MetroWest Daily News story here.",1,4,0
3,"CHARLOTTESVILLE, VA — The man accused of driving through a crowd of peaceful counter-protesters at a Charlottesville white nationalist rally last August, killing one person and injuring several others, has been indicted on hate crime charges, according to the Department of Justice. James Alex Fields Jr., 21, of Maumee, Ohio was indicted on 30 counts, including federal hate crime charges.  Fields was indicted by a federal grand jury in the U.S. District Court for the Western District of Virginia in Charlottesville on Wednesday. Fields was charged with one count of a hate crime act resulting in the death of Heather Heyer and 28 counts of of hate crime acts causing bodily injury and involving an attempt to kill.  Heyer, 32, was a paralegal who joined the scores of counter-protesters in Charlottesville last August to demonstrate against the neo-Nazis and white supremacists who descended on the Virginia city to protest the removal of a statue of Confederate General Robert E. Lee.  Those who knew Heyer described her as compassionate and her mother, Susan Bro, said she had a very strong sense of right and wrong.  Fields was also charged with one count of racially motivated violent interference with a federally protected activity (18 U.S.C. § 245(b)(2)), resulting in the death of Heather Heyer, for driving his car into a crowd of protestors on a downtown street in Charlottesville, Virginia.  The indictment alleges that after an unlawful assembly was declared, Field returned to this car and soon after drove to the vicinity of Fourth and East Market streets in downtown Charlottesville. He then drove his car onto Fourth Street, a narrow, downhill, one-way street, the indictment says. The DOJ says a racially and ethnically diverse crowd was gathered at the bottom of the hill.  Fields slowly proceeded towards the crowd before he stopped and observed them while idling in his car, the indictment alleges.  Many of the individuals in the crowd were chanting and carrying signs promoting equality and protesting against racial and other forms of discrimination, the DOJ said in a press release.    The indictment alleges Fields slowly reversed his car to the top of the hill and then rapidly accelerated, ran through a stop sign and across a raised pedestrian mall, and drove directly into the crowd, striking numerous individuals, killing Heather Heyer, and injuring many others.  His car stopped when it struck another and then he fled the scene, the indictment says.  The rally in Charlottesville was marked with violence and deadly clashes that culminated with the car attack that left Heyer dead. As public figures and lawmakers condemned the bigotry and the hatred on the part of the neo-Nazis and white supremacists that arrived in Charlottesville for the rally, President Trump said his administration condemns such displays on many sides. City officials said 35 people were injured in events related to the rally. Two Virginia State troopers were also killed in a helicopter crash as they helped monitor events at the deadly rally.  Jason Kessler, the organizer of the Unite The Right rally, was recently given a permit by the National Park Service for a white civil rights in Washington D.C. The rally would take place Aug. 11-12, on the anniversary of the Charlottesville rally.  Photo by David McNew/Getty Images News/Getty Images  ",1,0,0
4,"BERKELEY, CA — A homeless Hispanic man was charged Thursday with assault with a deadly weapon and a hate crime enhancement for alleging attacking an Asian-American man with a rock in downtown Berkeley on Tuesday morning, prosecutors and police said.  Jeffrey Pachingger, 38, voluntarily came to the Berkeley Police Department after the alleged attack at the bike racks at Shattuck Avenue and Center Street at about 9:30 a.m. on Tuesday and admitted to hitting the victim with a rock because of an illegal Asian takeover, Officer Jason Muniz wrote in a probable cause statement.  When he was interviewed after being notified of his rights, Pachingger admitted to willfully trying to kill the victim because of his ethnicity and his belief of an Asian takeover, Muniz said.  Police spokesman Officer Byron White said the victim returned to the bike racks at Shattuck Avenue and Center Street and bent over to unlock his bike when a suspect, later identified as Pachingger, struck him from  behind in the back of his head with a large rock.  Muniz said the victim felt dizzy and thought he was going to lose consciousness and ran north on Shattuck Avenue because he thought Pachingger would hit him again.  The victim was transported to a hospital to be treated for a head injury, White said.  The violent attack was at least the second by a homeless person in downtown Berkeley in less than a week, as on June 13 a homeless man punched a police officer and gave her a concussion when she tried to help him at the corner of Allston Way and Shattuck Avenue.  Muniz said he arrested Pachingger on suspicion of attempted murder and commission of a hate crime because hitting the victim in the back of his head with a rock could have caused death or serious bodily injury and because he admitted that he hit the victim with a rock because he was trying to kill him.  Pachingger also admitted that his malice toward the victim was due to the victims ethnicity, Muniz wrote.  However, the Alameda County District Attorneys Office decided to charge Pachingger with assault with a deadly weapon instead of attempted murder.  In addition, it charged him with battery with serious bodily injury.  Pachingger, whos being held at the Berkeley Jail in lieu of $130,000 bail, was arraigned today and is scheduled to return to court on Friday to possibly enter a plea.  — Bay City News; Image via Shutterstock  ",1,0,0
5,"HENNEPIN COUNTY, MN — The FBI Thursday announced a five-count federal indictment charging Michael Hari, 47, Michael McWhorter, 29, and Joe Morris, 22, with charges including federal civil rights and hate crime violations in connection with an explosion at the Dar al-Farooq Islamic Center (DAF) in Bloomington Aug. 5.  McWhorter, Morris, and Hari were previously named in a criminal complaint filed on March 13 charging them with arson.  The three defendants are currently being held in custody in Urbana, Illinois, on separate charges.  All people – regardless of where they worship – have the right under federal law to live free from the threat of violence and discrimination, said Acting Assistant Attorney General John Gore in a statement. This Justice Department will hold accountable under the law anyone who attempts to commit violent acts of hate by threat or action.  These three defendants allegedly plotted and executed a plan designed specifically to spread fear and threaten a fundamental right afforded to all, the freedom of religion, said U.S. Attorney Erica H. MacDonald.  In spite of the destructive and violent act alleged in the indictment, our communities have found strength in taking a unified stand against the attack. My office and our law enforcement partners are committed to upholding the laws that protect the civil rights of all Americans.  The indictment returned by a federal grand jury alleges that Hari constructed a pipe bomb and rented a pickup truck in Champaign-Urbana, Illinois.  Hari, McWhorter, and Morris drove from Illinois to Bloomington in the pickup truck, stopping along the way to purchase diesel fuel and gasoline, authorities say.  The three men mixed these ingredients together in a plastic container, according to police.  The indictment alleges that in the early morning of Aug. 5, Morris broke a window at DAF and threw the plastic container filled with the diesel fuel and gasoline mixture into the building.  Its also alleged that McWhorter then lit the fuse and threw the pipe bomb in the broken window at DAF.  According to court documents, the window that was broken was part of the Imams office. When the pipe bomb exploded, it ignited the mixture in the plastic container, causing extensive damage in the Imams office.  McWhorter and Morris returned to the pickup truck, where Hari was waiting, and sped off, driving back to Illinois, police said.  The charges allege the men targeted the mosque with the intent to obstruct Muslims from worshipping there.  DAF serves as a religious center as well as a religious school for children.  As described in the complaint previously filed with the court, McWhorter said in reference to the DAF explosion, that the defendants did not intend to kill anyone, but they wanted to scare [Muslims] out of the country and to show them hey, youre not welcome here…  Authorities say a tip from a confidential source lead investigators to the defendants.  Image via Shutterstock",1,3,0
6,"SEATTLE, WA - On Friday evening outside the Beacon Hill light rail station, a man was captured on video using racial slurs aimed at blacks. He was later arrested by Seattle police on a malicious harassment charge, which is the states hate crime law.  As explicit and vile as the mans rant was, its just one among hundreds of bias crime reports recorded by Seattle police since 2012. According to those stats, the number of reported bias crimes increased by about 300 percent between 2012 and 2017. Over the first two quarters of 2018 alone, there have been more bias crimes reported (146) than in all of 2012 (106), 2013 (109), and 2014 (126).  In 2018 so far, blacks have reported the most bias crimes - 39 in total. Members of the LGBTQ community reported the second most with 34. You can view the citys complete bias crime dashboard here.  The man accused of making the Beacon Hill rant, Steven Jay Watts, 35, is facing charges of malicious harassment and obstructing an officer (he has prior cases in court for assault and domestic assault, according to court records). He pleaded not guilt to the charges, according to Seattle Municipal Court records, and remains jailed on $10,000 bail.  Image via YouTube",1,0,3
7,"New York has granted more than $2.1 million to Long Island nonprofit schools, day cares and cultural museums as part of the states Securing Communities Against Hate Crimes Grant Program, Gov. Andrew Cuomo announced on Wednesday.  The money will be used to prevent hate crimes and attacks against the facilities, many of which are Jewish organizations. The state is providing $2.161,410 for 45 projects across Long Island.  This funding is critical in our efforts to enhance security and protect nonprofit schools, day cares and cultural museums at risk of hate crimes, Cuomo said. By supporting the diverse cultures and community centers found throughout this great state, we are setting an example for the nation while establishing a stronger, safer New York for all.  The grant, administered by the state Division of Homeland Security and Emergency Services, provides up to $50,000 for security training, cameras and state-of-the-art technology, door-hardening, improved lighting and other security upgrades at each facility. Organizations that operate more than one facility were eligible to submit up to three applications for a total request of up to $150,000.    The organizations receiving grants are:  Central Synagogue-Beth Emeth  Chabad of Port Washington  Congregation Sons of Israel, Woodmere  Friedberg Jewish Community Center  Friends of the Brandeis School  Hebrew Academy for Special Children  Hebrew Academy of Long Beach  Hebrew Academy of Nassau County  Hebrew Academy of the Five Towns and Rockaways  Hewlett East Rockaway Jewish Centre  Long Island Hebrew Academy  Mesivta Ateres Yaakov of Greater Long Island  Mid-Island Y Jewish Community Center, Inc.  Midway Jewish Center  Rambam Mesivta High School  Shulamith School for Girls  Sid Jacobson Jewish Community Center  Sonia & Max Silverstein Hebrew Academy  St. Thomas the Apostle School  Temple Sinai of Roslyn  Woodbury Jewish Center  Yeshiva and Mesivta Toras Chaim of Greater NY at South Shore Inc.  Yeshiva Ketana of Long Island  Chabad Lubavitch Chai Center, Inc.  Huntington Hebrew Congregation  Roman Catholic Church of St. Mary  Suffolk Y Jewish Community Center  Our yeshivas, synagogues and community centers are vital institutions and especially in todays day and age, it is critical for us to do all we can to keep them safe, said Sen. Todd Kaminsky, who represents many of the organizations who are receiving grant money.  The state grant program was created last year after a nationwide scare in which Juan Thompson, a former journalist, was arrested and charged with making threats to Jewish organizations across the country, including many in New York.  As part of the response, the state also created a telephone hotline and text line to report incidents of bias and discrimination. State police receive referrals from both lines. A $5,000 reward was made available for any information leading to an arrest and conviction for a hate crime. Anyone who has experienced bias or discrimination are encouraged to call the toll-free hotline at (888) 392-3644 from 9 a.m. to 5 p.m. Monday through Friday, or text HATE to 81336. If you want to report a crime or fear for your safety, call 911 immediately.  I am so pleased these grants are being awarded to help cultural places, private schools and day cares to protect them against vicious hate crimes, said Assemblywoman Melissa Miller. Places of worship and education should be safe havens, they should not be subjected to such insensitivity and violence. These are spaces where we celebrate life and our futures, so securing these grants will help ensure continued peace and prosperity in our community.    Photos courtesy Gov. Cuomos Office",0,8,5
8,"WILLOW SPRINGS, IL -- An Alsip man was arrested after he punched another man in a bar and called him a terrorist, prosecutors said. Thaddaeus Dankert, 20, appeared before Cook County Judge Michael Kane on felony charges of a hate crime and two counts of aggravated battery. Dankert is also charged with a misdemeanor for unlawful consumption of alcohol by a minor.  Dankert is accused of walking up to another man on April 21 at the Irish Legends, 8933 Archer Ave, Willow Springs and asking him if he was an Arab. He then called the man a terrorist and slugged him, the prosecutor said. The man fell on a table breaking his rib and rolled onto the floor. Witnesses told police that Dankert kept punching the man before fleeing. The prosecutor also said security video showed the man standing with his arms at his side when Dankert punched him.  The prosecutor said that Dankert was arrested for disorderly conduct in Adams County, WI. He has also juvenile arrests for disorderly conduct, assault and battery, and criminal damage to property.  The assistant public defender told the judge that Dankert is a full-time construction manager. Bail was set at $10,000. Kane told Dankert not to contact the man and to stay out of Irish Legends. Dankerts next court date is July 3 in Bridgeview.",1,0,0
9,"UNION SQUARE, NY -- The Brooklyn man who wore a Make America Great Again hat as he shoved a Latino man onto the subway tracks at Union Square has been formally charged with multiple hate crimes, prosecutors said Wednesday.  Willie Ames, 47, was indicted on four hate crime charges - including assault and attempted assault - and an aggravated harassment charge in New York State Supreme Court, said Manhattan District Attorney Cyrus Vance.  Ames allegedly attacked two fellow commuters, ages 24 and 26, on the platform of the 14th Street - Union Square subway station at around 8:15 p.m on April 20 after yelling racist slurs at both men aboard a northbound 4 train, according to the indictment.  You guys come here to take our jobs and you bring drugs, Ames yelled at the men, according to the criminal complaint filed against him. He also called the man a f------ Mexican and said you people are dirty, you people are nasty, Patch previously reported.  When the train stopped at Union Square, Ames dragged the 26-year-old man off the subway car by his clothing and attacked him, punching him three times in the head before knocking him onto the train tracks, prosecutors said.  He then attempted to hit the mans 24-year-old friend but fled the station when a witness called 911, police said. The 24-year-old was able lift his friend from the train tracks with help from a bystander.  This defendants attacks on two New Yorkers were attacks on all New Yorkers, Vance said. The First Amendment guarantees the rights of bigots to spew hateful, fearful, anti-immigrant rhetoric on television and Twitter. It does not authorize acts of violence against New Yorkers.  Ames, whose last known address was an East Williamsburg homeless shelter, was caught on surveillance footage wearing the signature red Make America Great Again hat associated with President Donald Trumps campaign. U.S. Marshals arrested him less than a week later.  (Lead photo via NYPD)  ",1,0,0
