,text,labels
0,"Leesburg, VA - An Ashburn man is in custody and is charged in connection with the June 26 armed robbery at a home in Lansdowne, according to the Loudoun County Sheriffs Office (LCSO). Courtez X. Day, 21, of Ashburn was charged with two counts of robbery, two counts of abduction, breaking and entering with intent to commit robbery, and use of a firearm in the commission of a felony. Detectives with the LCSO are continuing to work to identify the second suspect involved in the incident. The arrest stems from the armed robbery of the residents of a home in the 19000 block of Bent Tree Terrace. The victims reported two suspects knocked on the door of the home around 9 p.m. before forcing their way into the home. A struggle ensued and one of the suspects brandished a firearm. The suspects took multiple items from the home before fleeing the area. Detectives with the LCSO believe the victims inside the home were targeted. Day was apprehended on June 29 and is currently held at the Loudoun County Adult Detention Center on no bond. The case remains under investigation and further charges are likely, according to the LCSO.",0
1,"Two strangers beat on a Louisiana womans door, sprayed her in the face with mace and abducted her 6-month-old baby, who was later burned to death. Police said it happened just after 9 p.m. Tuesday at the Mayberry Trailer Park in Natchitoches, about 65 miles southeast of Shreveport. When police officers arrived, the childs mother told them two unknown people came to her trailer and began beating on her door. She opened it and was immediately sprayed in the face with what she thought was mace, police said in a Facebook post. The woman ran away from the home to escape the attackers, but once she returned she discovered her baby had disappeared. Police officers searched the area and called in additional officers from various other law enforcement agencies. About an hour later, police were alerted to a fire near Breda Avenue. They found a baby with obvious burns about his body. The baby was rushed to a local hospital in critical condition and had to be airlifted to another hospital where he died of his injuries. An investigation remains ongoing. No suspects have been arrested. Further details, including the identities of those involved and details of any possible suspects, werent immediately released. Photo credit: Shutterstock.com",1
2,"The Metropolitan Police Department is searching for three people who kidnapped and robbed a female victim in Dupont Circle early Sunday morning, police said. At about 2:40 a.m., three unknown suspects approached the female victim and forced her inside their car in the 1600 block of R St., NW, police said. The suspects robbed the female inside their car, then drove the victim to her house. They then stole additional items from the victims home, police told Patch. Police describe the first suspect as a black male in his 20s, standing 59 with a slim build. He was wearing a gray True Religion T-shirt and blue jeans at the time of the incident. Suspect two is described by police as a black female in her 20s, and approximately 55 with a petite build. She has straight black hair and was wearing a black jacket with fur around the collar and black jeans, police said. The finale suspect is a black male in his 20s, standing about 61 to 62 with a slim build. He was wearing a black shirt, blue jean jacket, blue jeans and red and black sneakers, police said. The suspects vehicle is described as a compact light colored vehicle. Anyone who has information regarding this case should call police at 202-727-9099. Additionally, information may be submitted to the TEXT TIP LINE by text messaging 50411. Crime Solvers of Washington, DC currently offers a reward of up to $1,000 to anyone who provides information that leads to the arrest and indictment of the person or persons responsible for a crime committed in the District of Columbia. Photo: DC Police",1
3,"St. Peters Police are looking for a missing 16-year-old St. Charles girl. The girl, Molly Linhardt, is considered by police to be an endangered missing juvenile. She is described as 5-foot-3 and 110 pounds with blue eyes and blond hair. According to St. Peters Police, Linhardt was reported missing around 7 p.m. on Monday, Jan. 14 by her parents. Linhardts father dropped her off for work at Kentucky Fried Chicken, however he later found out she was not scheduled to work. The family spoke to several people and found out that Linhardt had left the KFC in St. Peters located at 1699 Jungermann Road. Linhardt was last seen in her KFC uniform—black pants, black shoes, black shirt and black hat. Police believe Linhardt is with another adult male, identified as 27-year-old Benjamin Kinkade. The Wright City resident drives a 2006 silver Chevy Colorado with the Missouri license plate of 7PT914. Attempts to contact Kinkade have been unsuccessful and Linhardt does not have her cell phone. St. Peters Police consider Linhardt as an endangered missing juvenile and are asking anyone with information about her whereabouts call St. Peters Police Department at 636-278-2222. Update: 2:30 p.m. on Wednesday, Jan. 16, 2013 The St. Peters Police Department said they believe Linhardt left voluntarily with Kinkade and do not believe this is a child abduction. Police are still in need of the publics help because they have received minimal phone calls about this case and need as many leads as they can get at this time.",0
4,"Miami police have identified a man who is suspected of sexually assaulting one woman on Thursday and attempting to assault another. Police are asking for the publics help in finding 34-year-old Tavares Anthony Canty. Both incidents took place in the Little Haiti section of the city. Detectives have identified him as the suspect in these cases, Officer Michael Vega of the Miami Police Department said on Saturday. He is considered armed and dangerous. Miami police said that the first incident occurred around 7 a.m. on Thursday when Canty allegedly attempted to kidnap a woman by forcing her inside her home. The victim, in her twenties, was able to run away. There is a $3,000 reward in the case. An hour later, a suspect matching the same description made his way inside a second victims home and sexually assaulted her, added Officer Kenia Fallat of the Miami Police Department. Police released surveillance video of the suspect who is believed to be Canty:  Image and video courtesy Miami Police Department",0
5,"- One of three men charged in connection to a shooting inside a Sandy Springs strip club was accidentally released from the Fulton County Jail, and those who run the facility have implemented a new policy to ensure the mistake wont happen again. Tracy Flanagan, spokesperson for the Fulton County Sheriffs Office, said the mishap occurred earlier this week when a staffer misread a court document related to the case of Lamar Hillard. Hillard, of Eerie, Pennsylvania, was arrested by Sandy Springs police following the Feb. 6 shooting inside Dollhouse at 5275 Roswell Road. Two men were seriously wounded in the shooting, which police previously told Patch stemmed from a dispute over money. Flanagan said a staff member at the jail said she saw the official stamp indicating the charges against Hillard were nolle prossed, or not to be prosecuted, and that he should have been a released a few days earlier. She rushed to begin processing paperwork because the jail is prohibited from holding persons longer than required by law, Flanagan added. Unfortunately, she overlooked a handwritten notation indicating that Hillard was re-indicted on the same charges. The grand jury re-indicted Hillard on criminal attempt to commit murder, armed robbery, three counts of aggravated assault with a deadly weapon, aggravated assault (reasonable apprehension) and possession of a firearm during the commission of a felony. Hillard was released during the early hours on July 4, and the jail became aware of the error later that morning, Flanagan said. The Fulton sheriffs office obtained a judges signature to issue a warrant for Hillards arrest and the search for him spanned across the country. The Fulton County Sheriffs Offices Fugitive Unit, with the help of the United States Marshals Service Southeast Regional Fugitive Task Force and the FBI, began tracking the shooting suspect. Investigators believed he would be heading to his home state of Pennsylvania, but on July 5, an Ohio state trooper pulled over Hillard. The trooper learned Hillard had a warrant for his arrest concerning drug charges dating back to 2008, in addition to the new arrest warrant issued by the Fulton sheriffs office, Flanagan added. He was arrested and is currently being held in Ashtabula, Ohio. Flanagan states Hillard has to answer to the charges in that state before he can be transported back to Fulton County. Once the case in Ohio is closed, the sheriffs office will begin the extradition process. The Fulton County Sheriffs Office is grateful to the Ohio State Highway Patrol and all the law enforcement professionals who worked swiftly to track Hillard and recapture him safely, Flanagan told Patch. To help prevent an error like this from happening in the future, Flanagan said a supervisor from the records unit as well as a supervisor from the section tasked with releasing inmates will now have to sign off on any release of those charged with one of Georgias seven deadly sins: murder, rape, armed robbery, aggravated child molestation, aggravated sodomy, aggravated sexual battery and kidnapping with bodily injury. Image via Fulton County Jail",1
6,"A woman threatened to kill herself by jumping from the top floor of a South Beach parking garage on Monday afternoon. Police said the standoff ended peacefully. The incident occurred in the 500 block of busy Washington Avenue. The woman has been taken to the hospital for an evaluation, explained Ernesto Rodriguez of the Miami Beach Police Department. The unarmed woman was threatening to jump from the parking garage rooftop ledge. Police said the standoff began around 1:20 p.m. Rodriguez told Patch that hostage negotiators were called to the scene along with crisis intervention team members. Traffic in the area was closed for a time along Washington Avenue between 5 and 6 Streets. The Miami Beach Fire Department was also called to the scene. Traffic reopened later in the afternoon. If you or someone you know is contemplating suicide, please call National Suicide Prevention at 800-273-8255 or click here. Photo by Paul Scicchitano",0
7,"A Farmington Hills police officer who helped authorities apprehend a suspect wanted for kidnapping and attempted murder was honored earlier this week as the 2015 Farmington/Farmington Hills Optimist Club Police Officer of the Year. Matthew Theisen, who joined the Farmington Hills Police Department in 2012, was honored at a ceremony on May 11. He had previously worked from 2005-2012 as a police officer with the Wayne State University Police Department. He has a bachelors degree from Western Michigan University, is certified as breathalyzer operator and os a mobile command post operator for the police department. Besides a citation for chasing down the kidnapping and murder suspect on foot in 2015, Theisen received a second citation for his field investigation of gunshots. Through his outstanding investigation, the weapon that fired the shots, which was stolen from a vehicle, was recovered as well as other stolen property, the police depatment said in a news release. The investigation also revealed that the suspects lived in the area and they were subsequently arrested. Theisen also received a Commendation in 2015 for his response to an incident where a mother shot and killed her son after he broke into her apartment. Theisen secured the weapon, rendered first aid, and ensured the safety of everyone else at the residence. No charges were filed in that incident when authorities ruled the woman was defending herself. Image: From left, Assistant Chief Matt Koehn, Optimist President Roxanne Fitzpatrick, Officer Matthew Theisen and Police Chief Chuck Nebus (photo courtesy of city Farmington Hills).",1
8,"Canton Police Log July 19, 2012 Wednesday, July 18 4:03 p.m. Police responded to a report of erratic operation of a motor vehicle on Washington Street. 10:51 p.m. Police responded to a noise complaint on Dedham Street and spoke with party. Thursday, July 18 6:07 a.m. Police responded to a animal complaint on Washington Street and rendered services. 10:30 a.m. Police responded to a report of larceny/forgery/fraud on Washington Street and issued a summons to Linda Manna, 45, of 302 Pond St., Braintree on a charge of larceny by check under $250. 10:50 a.m. Police responded to a report of larceny/forgery/fraud on Washington Street and issued a summons to Andrew Eng, 23, of 12 Pebblebrook Road, Easton on a charge of larceny over $250. 11:46 a.m. Police responded to a report of a motor vehicle accident on High Street at Tolman Street. 12:20 p.m. Police responded to a report of a disturbance on Neponset Street. 1:04 p.m. Police responded to a report of larceny/forgery/fraud on Curtis Road. 1:46 p.m. Police responded to a report of a disturbance on Arboretum Way and arrested Michael Swallow, 21, of 425 Pearl St., Apt. 1 Stoughton on charges of assault and battery and kidnapping. 2:48 p.m. Police responded to a report of a motor vehicle accident on Washington Street. 3:10 p.m. Police responded to a report of a  motor vehicle accident on Pleasant Street at Washington Street. 5:17 p.m. Police responded to a report of a motor vehicle accident on Turnpike Street. 10:49 p.m. Police responded to a report of juvenile offenses on Pleasant Street at Sherman Street. 11:07 p.m. Police responded to a report of youths gathering at Frank and Vinnys Barber on Church St. and spoke with parties.",0
9,"Police in the South Bay announced the arrest Friday of a suspect who allegedly tried to kidnap a 13-year-old girl this week as she walked home from school in Otay Mesa. Jose Alfredo Plascencia, 50, was arrested around 8:30 a.m. Thursday morning after officers tracked him down in the 600 block of Dennery Road, San Diego police Capt. Alberto Leos said. It wasnt immediately clear how investigators identified Plascencia as a suspect in the alleged abduction attempt near Montgomery Middle School. According to police, a motorist pulled up alongside a 13-year-old girl Tuesday as she walked home from school on an Otay Mesa roadside, grabbed her by the arm and made a failed attempt to pull her into his van. The kidnapping attempt occurred about 5:15 p.m. in the 700 block of Picador Boulevard, police said. The victim was able to break away from the man and run to safety. The would-be abductor, who was driving a black Mercedes-Benz van, was described as a white man in his 50s or early 60s with a full beard and a raspy voice. He was wearing gray pants, a grayish-green polo shirt and glasses, police said. Southern division began an immediate investigation into the allegation, Leos said. Through their investigation the subject was identified as a Jose Plascencia. Officers arrested Plascencia Thursday morning on suspicion of felony attempted kidnapping and an unrelated misdemeanor warrant, Leos said. He was booked into the San Diego Central Jail a little after noon Thursday. Jail records showed Plascencia was being held Friday morning in lieu of $220,000 bail on suspicion of felony attempted kidnapping and misdemeanor counts of annoying a child and sexual battery. --City News Service/Image via Renee Schiavone",1
