1	1 95 96
2	2 95 96
3	3 95 96
4	4 5 6 95 96
5	7 8 9 95 96
6	10 11 12 13 14 15 95
7	16 17 18 19 20 95 96
8	21 22 23 24 95 96
9	25 26 95 96
10	27 95 96
11	28 95 96
12	29 95 96
13	30 31 32 95 96
14	33 95 96
15	34 95 96
16	35 95
17	36 37 38 95 96
18	39 40 41 95 96
19	42 43 44 95 96
20	45 46 47 95 96
21	48 49 50 95 96
22	51 52 53 95 96
23	54 55 56 57 95 96
24	58 59 60 61 95 96
25	62 63 64 65 95 96
26	66 67 68 95 96
27	69 70 71 72 95 96
28	73 74 75 76 95 96
29	77 78 79 95 96
30	80 81 82 83 84 95
31	85 86 87 95 96
32	88 89 90 91 95 96
33	92 93 94 95 96
